line	page	week	num_likes	domain	outlet	title	description	contenttype	image	url	text	id	right_of_center
563	Pegida	39	1434	welt.de	DIE WELT	Gauck setzt sich von Merkels Flüchtlingskurs ab	Der Bundespräsident findet Merkels Kurs in der Asylkrise verständlich, weist aber auf ein „fundamentales Dilemma“ hin: „Unsere Aufnahmekapazität ist begrenzt.“ Er warnt vor einer Spaltung des Landes.	article	http://m.welt.de/img/deutschland/crop146928643/4956939795-ci3x2l-w900/Interkulturelle-Woche-in-Mainz.jpg	http://m.welt.de/politik/deutschland/article146920096/Gauck-setzt-sich-von-Merkels-Fluechtlingskurs-ab.html	"Gauck setzt sich von Merkels Flüchtlingskurs ab Von Claudia Kade 220 Ein Fehler ist aufgetreten. Bitte laden Sie das Video neu. Hinweis: Bundesliga-Videos sind außerhalb von Deutschland nicht                                                    abspielbar. Bundespräsident Gauck bekräftigt Deutschlands Hilfe für Asylsuchende. Gleichtzeitig warnt er aber, das Land solle sich mit der Aufnahme von Flüchtlingen nicht übernehmen. Quelle: Die Welt Der Bundespräsident findet Merkels Kurs in der Asylkrise verständlich, weist aber auf ein „fundamentales Dilemma“ hin: „Unsere Aufnahmekapazität ist begrenzt.“ Er warnt vor einer Spaltung des Landes. Bundespräsident Joachim Gauck setzt sich in der Flüchtlingsfrage vom Kurs der Kanzlerin ab. Zwar zeigte er Verständnis für Angela Merkels (CDU) Offenheit und Zuversicht. Das Staatsoberhaupt betonte in einer Rede zum Auftakt der Interkulturellen Woche aber vor allem die Grenzen der Aufnahmebereitschaft und hob die Hürden bei der Integration hervor. ""Wir haben jüngst erlebt, wie eine sehr verständliche, menschliche Entscheidung der Bundesregierung auf begeisterte Zustimmung, aber auch auf deutliche Reserve, ja sogar Ablehnung gestoßen ist"", sagte Gauck am Sonntagabend in Mainz. Zwar sei er wie viele andere tief beeindruckt von der Hilfsbereitschaft und dem Engagement der vielen Tausend freiwilligen und hauptamtlichen Helfer, der Kommunen und Länder. Zugleich treibe viele aber die Sorge um: ""Wird der Zuzug uns irgendwann überfordern? Werden die Kräfte unseres wohlhabenden und stabilen Landes irgendwann über das Maß hinaus beansprucht?"" Wenn wir Probleme benennen und Schwierigkeiten aufzählen, so soll das nicht unser Mitgefühl – unser Herz – schwächen Gauck schilderte, wie ein Vertreter der nordrhein-westfälischen Kommunen sich kürzlich an ihn wandte und Alarm schlug. Die Profis und Ehrenamtler seien am Ende ihrer Möglichkeiten, habe der Mann ihm erklärt. Im kommenden Jahr sei ein vergleichbar hoher Zustrom wie in diesem Jahr nicht mehr zu verkraften. Inzwischen trauten sich immer mehr Menschen, das ""fundamentale Dilemma dieser Tage"" offen anzusprechen, sagte Gauck: ""Wir wollen helfen. Unser Herz ist weit. Doch unsere Möglichkeiten sind endlich."" Zwar bemesse sich das Asyl- und Flüchtlingsrecht in Deutschland nicht nach Zahlen. Es frage bei jedem Einzelnen nur danach, ob die Voraussetzungen der Schutzgewährung vorliegen. ""Und doch wissen wir: Unsere Aufnahmekapazität ist begrenzt, auch wenn noch nicht ausgehandelt ist, wo diese Grenzen liegen."" Länder bekommen 670 Euro pro Flüchtling im Monat Ein Fehler ist aufgetreten. Bitte laden Sie das Video neu. Hinweis: Bundesliga-Videos sind außerhalb von Deutschland nicht                                                    abspielbar. Wer übernimmt die Kosten für die vielen Flüchtlinge in Deutschland? Darüber wurde lange gestritten. Nun die Einigung: Ab dem nächsten Jahr wird der Bund jeden Monat pro Flüchtling 670 Euro zahlen. Quelle: N24 Der Bundespräsident gibt damit denjenigen eine Stimme, die den wachsenden Flüchtlingszuzug mit Sorge, aber ohne Ressentiments betrachten. Er setzt einen anderen Akzent als Merkel, die vor allem wegen ihres Satzes ""Wir schaffen das"" und ihrer Entscheidung , vorübergehend Kriegsflüchtlinge unkontrolliert aus Österreich und Ungarn zu übernehmen, auch in den eigenen Reihen scharf kritisiert wird. Deutschland dürfe sich weder von Ängsten noch von Träumereien leiten lassen, warnte Gauck mit einem Zitat des früheren Bundespräsidenten Johannes Rau. Warnung vor einer Spaltung des Landes Gauck warnte vor einer Spaltung des Landes in der Flüchtlingsfrage. ""In dieser Situation habe ich eine dringende Bitte: dass sich die Besorgten und die Begeisterten nicht gegenseitig denunzieren und bekämpfen, sondern sich im konstruktiven Dialog begegnen."" Es gelte, in einem Wertekonflikt klug zu handeln. Allen, die sich verantwortungsbewusst an der Debatte über dieses Dilemma beteiligen, solle Respekt gelten. ""Wenn wir Probleme benennen und Schwierigkeiten aufzählen, so soll das nicht unser Mitgefühl – unser Herz – schwächen."" Vielmehr gehe es darum, den Verstand zu aktivieren. Es sei unvermeidlich, dass mit den Hunderttausenden Menschen, die in Deutschland Zuflucht suchten, auch Konflikte und Schwierigkeiten kämen. Neben Ordnung und Steuerung würden deshalb nun Flexibilität und Fantasie gebraucht. Es gehe darum, eine kreative Haltung zu fördern, die nicht sage, warum etwas unmöglich ist, sondern frage, wie es möglich werde. Doch selbst größter Ideenreichtum und viel Geld reichten nicht aus, um Konflikte gänzlich abzuwenden. Ein Ringen um preiswerten Wohnraum, um Kita- und Schulplätze sowie etwa um die Nutzung von Turnhallen, Grünanlagen und Schwimmbädern werde unvermeidlich sein. ""Manche Beschwerde kann ich durchaus nachvollziehen."" Auf die Sozialsysteme kämen zunächst Kosten zu, bevor aus ""den neuen Nutznießern"" später auch Einzahler würden. Um Spannungen zwischen Neuankömmlingen und Alteingesessenen zu verhindern, müsse es gelingen, dass sich niemand übervorteilt fühle. Beide Seiten müssten außerdem bereit sein, den langen Weg der Integration zu gehen. An diesem Punkt wurde Gauck deutlich: Unmissverständlich kritisierte er die CDU von Kanzlerin Merkel sowie deren Schwesterpartei CSU wegen ihrer langjährigen Blockadehaltung gegen die Einführung eines Einwanderungsgesetzes. Die Bundesrepublik kenne zwar viele Regeln, die sich erst langsam entwickelt hätten, bis heute aber kein Einwanderungsgesetz. ""Neben Erfolgen gab es auch viele Fehler und Versäumnisse."" Wir wollen in diesem Land keinen religiösen Fanatismus Zur Verdeutlichung seiner Kritik zitierte Gauck ausgerechnet den Grünen-Vorsitzenden Cem Özdemir, Spitzenvertreter der Opposition: ""Gute Integration heißt, frühere Fehler zu vermeiden."" Jetzt gehe es darum, schneller und intensiver Deutschkenntnisse zu vermitteln; und Flüchtlinge, die bleiben, zügiger auszubilden und arbeiten zu lassen; ihnen insgesamt zu zeigen, dass sie dazugehörten. ""Nicht aus jedem wird eine Fachkraft, das ist mir klar, aber ich ermutige jeden, die eigenen Potenziale zu entfalten."" Deutschland habe Erwartungen an die Flüchtlinge, die hierbleiben: dass sie sich voll einbringen, die Hürden des Anfangs überwinden, Deutsch lernen sowie Recht, Freiheit, Gleichberechtigung verinnerlichen sollten. ""Es gibt keine bessere Integration als Arbeit"" Ein Fehler ist aufgetreten. Bitte laden Sie das Video neu. Hinweis: Bundesliga-Videos sind außerhalb von Deutschland nicht                                                    abspielbar. Die Bundesregierung möchte in der Flüchtlingskrise verstärkt die Wirtschaft in die Pflicht nehmen. Die Grünen fordern sogar einen Deutschlandfond für Bildungmaßnahmen und Spachförderung. Quelle: N24 Ausdrücklich begrüßte Gauck, dass zu den Helfern auch Einwanderer zählten. Er forderte sie auf, bei der Integration derjenigen zu helfen, die unter der Freiheit in Deutschland nur Schrankenlosigkeit verstünden und in den Traditionen ihrer Herkunftsregionen verharrten. Für Fundamentalisten und Gotteskrieger gelte aber: ""Wir wollen in diesem Land keinen religiösen Fanatismus"", sagte Gauck. Der Rechtsstaat dulde keine Gewalt. Dasselbe gelte für jene Gewalttäter, die Flüchtlingsheime anzündeten. ""Auch rechtsradikale Brandstifter und Hetzer müssen wissen: Es gibt keine rechtsfreien Räume in diesem Land."" Der Präsident lobt die Reife seines Landes Gauck lobte die Grenzkontrollen, die wenige Tage nach dem Anwachsen der Flüchtlingszahlen in Süddeutschland eingeführt wurden. ""Dem humanen Wollen zur möglichst unbegrenzten Hilfe stehen am Ende begrenzte Möglichkeiten gegenüber"", sagte er. Deutschland müsse einer der Staaten bleiben, in denen Menschen Zuflucht suchen könnten, solange es Krieg und Verfolgung gebe. Gauck über Fremdenhass und Flüchtlingshelfer Ein Fehler ist aufgetreten. Bitte laden Sie das Video neu. Hinweis: Bundesliga-Videos sind außerhalb von Deutschland nicht                                                    abspielbar. Joachim Gauck hat in Berlin eine Erstaufnahmeinrichtung für Flüchtlinge besucht. Der Bundespräsident machte sich ein Bild von den Unterkünften und nahm Stellung zu den Attacken auf Asylsuchende. Quelle: N24 Dazu müsse aber auch die Europäische Union ihre Außengrenzen schützen. Nur so könne sie die Aufrechterhaltung der inneren Ordnung und des inneren Friedens wahren. ""Sie sind die Voraussetzung dafür, überhaupt Flüchtlinge in großer Zahl aufnehmen zu können."" Die Ruhe und Tatkraft, mit der die überwiegende Mehrheit der Gesellschaft auf die Flüchtlingskrise reagiert habe, stellten ihr ein ""Reifezeugnis"" aus, mit dem sie auch kommende Prüfungen bestehen werde. Wer geglaubt habe, der Bürgergesellschaft werde der Elan schnell ausgehen, werde in diesen Tagen eines Besseren belehrt, lobte Gauck. Nahezu überall werde die Hoffnung, die Flüchtlinge in Deutschland setzten, mit Mitgefühl, Herzlichkeit und Offenheit belohnt. ""So werden wir bleiben, was wir geworden sind: ein Land der Zuversicht."" Klicken Sie bitte hier , wenn Sie selbst Flüchtlingen helfen wollen und auf der Suche nach einer Möglichkeit sind. Teilen Sie diesen Artikel "	563	True
567	Pegida	39	1337	youtube.com	YouTube	Marsz przeciw islamizacji KATOWICE 26-09-2015	Marsz przeciwko sprowadzania imigrantów i STOP dla islamizacji europy w katowicach - 26.09.2015	video	https://i.ytimg.com/vi/QPFOrsF2bzg/maxresdefault.jpg	https://www.youtube.com/watch?v=QPFOrsF2bzg		567	True
568	Pegida	39	1273	focus.de	FOCUS Online	Hunderte Frauen klagen über muslimische Männer - Klöckner: Was akzeptieren wir noch alles?		article	http://p5.focus.de/img/fotos/crop4944991/6322713749-w1200-h627-o-q75-p5/urn-newsml-dpa-com-20090101-150914-99-02201-large-4-3.jpg	http://m.focus.de/politik/deutschland/nach-forderung-zur-integrationspflicht-kloeckner-hunderte-frauen-reden-sich-bei-mir-frust-ueber-muslimische-maenner-von-der-seele_id_4972380.html	"horst kessler |                     04.11.2015 | 10:38 Uhr Unser Land Wenn wir unser Land nicht verteidigen werden wir Werte die wir seit der Reichsgründung 1871 errungen haben wieder verlieren.Man redet oft von Integrieren ,die Islamische Religion lässt sich nicht integrieren.Was damals der Kreuzzug der Christen war ist heute die Eroberung des Abendlandes durch den Islamischen Halbmond.Arabien war einmal eine Geistig und Kulturell hoch entwickelte Region dies wurde durch das Islamische Kalifat beendet und Rückgängig gemacht.Wenn wir nicht wollen dass wir stück für stück unsere Werte aufgeben müssen müssen wir verhindern dass der Islam in unseren Land eine Macht wird. Hansjörg Ruprecht |                     26.10.2015 | 18:33 Uhr Gut so Schön, daß endlich mal jemand den Mund aufmacht und von der Wirklichkeit der islamischen Zuwanderer hier redet. Und mit jeder Million neues islamsicher Flüchtlinge wird die Lage schlimmer. Das Bild das uns bestimmte Politiker vermitteln wollen, ist meilenweit von der Wirklichkeit entfernt. Es hilft nur die Notbremse zu ziehen und keine islamischen Flüchtlinge mehr aufzunehmen. Es gibt genügend reiche islamische Staaten in die sie flüchten können. Andreas Erdmann | 01.11.2015 | 02:50 Reiche Islamische Staaten wollen genau diese Leute nicht obwohl es doch ihre Glaubensbrüder sind. Das sagt doch eigentlich schon alles. Frank Fox |                     26.10.2015 | 09:17 Uhr Liebe Focus Redaktion Habt ihr es tatsächlich nötig am rechten Rand der Pegida zu fischen um Leser für euer Magazin zu finden? Hansjörg Ruprecht | 26.10.2015 | 18:34 Realität Das ist kein Fischen am rechten Rand sondern deutsche Realität. Schade, daß man sich der Realität soweit verweigern kann. Frank Fox |                     26.10.2015 | 09:15 Uhr By the way... ... meine Oma war übrigens auch so eine Religionsfanatikerin die so überhaupt nicht in unsere westliche Kultur passte. Stellen Sie sich mal vor, die hat doch tatsächlich Kopftuch getragen und ist Sonntags ins Gebetshaus gegangen. Allein schon das Symbol dieser Sekte, ein Folterwerkzeug aus der Antike an dem man Menschen angenagelt hat! Solche Symbole rufen ja wohl eindeutig zur Gewalt auf und in einigen Ländern hängen solche Symbole sogar in Schulen, können Sie sich so etwas Vorstellen? unglaublich, solcher Kultursumpf gehört verboten! Frank Fox |                     26.10.2015 | 09:08 Uhr Wo wir sind? Lieber Herr Schmidt, Sie haben völlig recht. Natürlich passen wir uns an wenn wir in andere Länder fahren. Ich kenne keine deutsche Frau die in Marokko oder andern islamischen Staaten ohne Burka durch die Straßen geht. In streng gläubigen asiatischen Ländern wäre es für mich ein Shock wenn ich hören würde, das deutsche Männer dort einheimische Frauen ansprechen würden. Was bin ich froh und stolz ein deutscher zu sein der sich im Ausland zu benehmen weiß und nicht einer dieser Muslime die vermutlich nach Asien reisen um dort als Sextouristen über junge Mädchen her zu fallen. Andreas Erdmann | 01.11.2015 | 02:36 Sextourismus Nur Deutsche fliegen nach Asien zum Sextourismus? Das wusste ich ja noch gar nicht... Was ist denn mit den ganzen Romas und Bulgas und Albanern die hier ihre Frauen auf den Strich schicken? Hermann Schmidt |                     17.10.2015 | 10:47 Uhr Wo sind wir? Wenn ich in ein Land fahre, ob gezwungener Massen, oder zu Besuch, passe ich mich an. Ich betrachte die Burka als ein Gefahrenpotential. Wer steckt darunter? Hier sollte unser Staat durchgreifen. Wer unseren Schutz genießen will, darf sich nicht verstecken. Ansonsten sollen diese Menschen dort bleiben woher sie kommen. Leider haben diese strenggläubigen Menschen noch nie andersdenkende toleriert. Vergessen wir auch nicht die extrem frommen Christen aus dem vorherigem Jahrtausend. Andreas Erdmann | 01.11.2015 | 02:41 So ist es Genau so sehe ich das auch. Ich wäre froh wenn ich aus einem Land fliehen müsste und ein anderes Land nimmt mich auf und gibt mir Schutz. Ich frage mich nur warum denn alle nach Deutschland wollen und nicht in dem Land bleiben das sie als erstes betreten und dort sicher sind. Das liegt ganz einfach daran das sie genau wissen das in Deutschland am meisten für sie zu holen ist. Bernhard Wieck |                     09.10.2015 | 09:44 Uhr Kaum zu glauben Da traut sich tatsächlich jemand........ Ist sie von der AfD :-) Im Ernst, wenn derartige Themen nicht endlich geregelt werden,möchte ich nicht wissen, wie die deutsche Bevölkerung ""bald"" reagiert. Gut, dass das Volk endlich aufzuwachen scheint. Andreas Erdmann | 01.11.2015 | 02:47 Man kann es nur hoffen Die Bevölkerung wird versucht Mundtot zu machen in dem man sie als Nazis tituliert wenn sie den Mund aufmachen. Mir ist es so was von egal ob mich einer als Nazi bezeichnet das kann sich keiner vor stellen. Die Quittung wird Frau Merkel bei der nächsten Wahl bekommen wenn die AFD in den Bundestag einzieht. Dann ist Nazi sein wieder Chick Heike Multani |                     08.10.2015 | 15:35 Uhr Achtung Das hat auch etwas mit Achtung zu tun wenn ich mich anpasse vorausgesetzt man will das überhaupt Wenn ich in diese Länder reise laufe ich auch nicht im Bikini durch die Stadt. Harald Wolf |                     08.10.2015 | 13:32 Uhr Frau Klöckner ihre Freundin und Kanzlerin war in einer Talk-Show, jetzt aber nachziehen. Man will doch wer sein in der Nähe dieser Lichtgestalt Dr. Angela Markel. "	568	True
569	Pegida	39	308	focus.de	FOCUS Online	Sachsen-AfD umgarnt Pegida - Angekündigte Parteigründung „schade“		article	http://p5.focus.de/img/fotos/crop4972908/0472714532-w1200-h627-o-q75-p5/urn-newsml-dpa-com-20090101-150925-99-08040-large-4-3.jpg	http://www.focus.de/regional/dresden/parteien-sachsen-afd-umgarnt-pegida-angekuendigte-parteigruendung-schade_id_4972909.html	"von Franz-Georg Hammer Dass die Pegida nun eine eigene Partei gründet, finde ich ebenfalls schade. Sie wird lediglich die AfD Wählerstimmen kosten - und damit deren Einzug in den Bundestag gefährden. Eine weitere Zersplitterung des bürgerlichen Lagers rechts der - nach links gerückten Union - brauchen wir nun wirklich nicht. Bachmann soll sich nun mal gefälligst mit Frauke Petry und möglichst auch den Herren von der Alfa-Partei arrangieren und an einem Strang ziehen. Antwort schreiben 26.09.2015 von Franz-Georg Hammer ""Selbsternannte"" Patrioten? Was soll das? Es gibt keine Zentralstelle, die offiziell für die Ernennung von Patrioten zuständig wäre. Das ist immer eine Selbsteinschätzung. Und bei Pegida dürfte diese auch ohne Weiteres zutreffen. Patriot kommt von lateinisch ""patria"", die Heimat. Das sind also Leute, die ihre Heimat erhalten wollen. Wozu auch die Ablehnung unbegrenzter Massenzuwanderung aus fremden Kulturkreisen gehört. Antwort schreiben HINWEIS: Sie waren einige Zeit inaktiv. Ihr zuletzt gelesener Artikel wurde hier für Sie gemerkt. "	569	True
577	Pegida	39	723	focus.de	FOCUS Online	Albanien, Kosovo und Montenegro werden zu sicheren Herkunftsstaaten erklärt		article	http://www.focus.de/resources/ver1-0/pics/fol/focus_online_badge_1200x627px.jpg	http://m.focus.de/politik/deutschland/beschluss-auf-fluechtlingsgipfel-albanien-kosovo-und-montenegro-werden-zu-sicheren-herkunftsstaaten-erklaert_id_4971090.html	Petra Maschenke |                     26.09.2015 | 03:03 Uhr es werden dann da wohl jetzt tausende von albanischen ,kosovaren und montenegrosche Pässe brennen oder verschwinden ... oder verloren,um dann durch in Massen illegal hergestellte syrische Pässe ersetzt zu werden. Am Ende werden hier in Deutschland mehr Syrer ankommen als es sie je in diesem Land gegeben hat ,und keiner wird da drüber stutzig werden (wollen oder müßen).Schon komisch oder? 	577	True
580	Pegida	39	902	welt.de	DIE WELT	Wir brauchen eine Verabschiedungskultur	Schleswig-Holsteins CDU-Chef fordert, dass nicht nur die Ankunft von Flüchtlingen im Fernsehen gezeigt wird – sondern auch Abschiebungen. Damit zieht er den Zorn aller anderen Parteien auf sich.	article	http://img.welt.de/img/deutschland/crop146800079/2996931592-ci3x2l-w900/Klausurtagung-CDU-Schleswig-Holstein.jpg	http://www.welt.de/politik/deutschland/article146800081/Wir-brauchen-eine-Verabschiedungskultur.html	"px Höhe Autoplay Das Bundesinnenministerium warnt mit einem Video Menschen aus dem Westbalkan davor, sich nach Deutschland schleusen zu lassen. Wer Schleppern Geld zahle, tausche sein Vermögen gegen Illusionen ein. Quelle: Bundesministerium des Innern SPD auf der Zinne, DGB auf der Zinne, Grüne noch weiter auf der Zinne, auch die FDP auf der Zinne. Mit einem einzigen Satz hat der bis dahin noch weitgehend unbekannte Landesvorsitzende der CDU Schleswig-Holstein , Ingbert Liebing, die Politik in Deutschlands hohem Norden in Wallung gebracht. Foto:  picture alliance/dpa Der Landesvorsitzende der schleswig-holsteinischen CDU, Ingbert Liebing, war bislang eher unbekannt – mit seinen Äußerungen zur Flüchtlingskrise dürfte sich das ändern Mit Blick auf eine aus seiner Sicht ""kippende Stimmung in der Bevölkerung"" forderte der auf Sylt lebende Christdemokrat, dass Bund und Länder in der Flüchtlingsfrage künftig nicht mehr ausschließlich auf eine ""Willkommenskultur"" setzen dürften. ""Wir brauchen auch eine Verabschiedungskultur"", sagte Liebing und forderte unter anderem mehr ""öffentlich sichtbare Zeichen der Abschiebung "". Liebing – der seine Partei auch als Spitzenkandidat in die nächste Landtagswahl führen soll – setzt dabei unter anderem auf TV-Bilder: ""So wie Kamerateams Flüchtlinge an der Grenze bei der Einreise zeigen, sollten Kameras auch zeigen, wie der Bus in die andere Richtung fährt."" Allein mit mehr Geld, das der Bund den Ländern zur Bewältigung der Problematik zur Verfügung stelle, sei es jedenfalls nicht getan. ""Der Zustrom der Flüchtlinge"" müsse ""gebremst werden"", so Liebing im ""Flensburger Tageblatt"". Was folgte, war ein Sturm der Entrüstung. Liebings Äußerung sei ""unverantwortlich"", empörte sich zum Beispiel die Vorsitzende der Grünen-Landtagsfraktion in Schleswig-Holstein, Eka von Kalben. Liebing und mit ihm CDU-Fraktionsführer Daniel Günther schürten mit diesem Begriff ""diffuse und vermeintliche Ängste in der Bevölkerung"". Wer das großartige Engagement der Menschen für eine ""Willkommenskultur"" mit einer ""Verabschiedungskultur"" konterkarieren wolle, der beleidige diese Menschen. Wer Abschiebungen als öffentliche Belustigungsaktionen zelebrieren will, verabschiedet sich als ernst zu nehmender Gesprächspartner Ralf Stegner (SPD) Bundesvize Auch FDP-Landeschef Heiner Garg attackierte den CDU-Mann scharf. ""Dass ausgerechnet die schleswig-holsteinische Christlich Demokratische Union ihren erst unlängst ausgerufenen Spitzenkandidaten eine ,Verabschiedungskultur' ausrufen lässt, ist blanker Zynismus."" Er erwarte von der Union künftig ernst zu nehmende Beiträge zur Flüchtlings- und Asylpolitik. Entsetzt über Liebings Äußerung zeigte sich auch der Deutsche Gewerkschaftsbund (DGB). ""Verzweifelt Schutzsuchende für derartige Inszenierungen missbrauchen zu wollen"", werfe ein ""trübes Licht auf den Vorwahlkampf in Schleswig-Holstein"", kritisierte DGB-Landeschef Uwe Polkaehn. Der Gewerkschafter spielte damit auf den im Kieler Landeshaus geäußerten Verdacht an, Liebing wolle sich mit scharfen Äußerungen zum Asylrecht landesweit bekannter machen. SPD-Bundesvize Ralf Stegner, ebenfalls Landesvorsitzender seiner Partei, sparte dann auch nicht mit Spott: ""Wer Abschiebungen als öffentliche Belustigungsaktionen zelebrieren will, verabschiedet sich als ernst zu nehmender Gesprächspartner. Vielleicht ist das ja die neue Verabschiedungskultur der Nord-CDU."" Der CDU-Mann gibt nicht nach Und Liebing selbst? Der Christdemokrat wiederholte den Begriff ""Verabschiedungskultur"" in einer Pressemitteilung zum Flüchtlingsgipfel von Bund und Ländern an diesem Donnerstag nicht. In der Sache blieb er aber bei seiner Haltung. Neben dem ""Kraftakt"" der Integration von einer Million Flüchtlingen in diesem Jahr gehe es auch darum, ""den Zuzug von jenen zu begrenzen, die aus sicheren Verhältnissen kommen"". Deshalb dürfe es ""keine Verzögerung beim Vollzug von Abschiebungen geben – auch in Schleswig-Holstein nicht"". Foto: Infografik Die Welt "	580	True
581	Pegida	39	546	welt.de	DIE WELT	Die großzügigen Schweden zahlen einen hohen Preis	Pro Kopf hat das Land mit die meisten Flüchtlinge aufgenommen. Aber es gelingt immer weniger, sie wirklich in die Gesellschaft zu integrieren. Die Zahlen sprechen eine klare Sprache.	article	http://img.welt.de/img/kommentare/crop146734280/4416937629-ci3x2l-w900/Food-and-drink-is-distributed-by-volunte.jpg	http://www.welt.de/debatte/kommentare/article146734281/Die-grosszuegigen-Schweden-zahlen-einen-hohen-Preis.html	"Von Gunnar Heinsohn Foto: AP Schwedische Willkommens-Kultur: Am Bahnhof in Malmö versorgen Freiwillige ankommende Flüchtlinge mit Lebensmitteln Als nach den Verbrechen des Zweiten Weltkriegs globale Organisationen für Entwaffnung und Wohlstand entstehen, entwickeln die nordischen Länder Schweden und Kanada einen freundschaftlichen Wettbewerb um die Übernahme von Friedensmissionen und internationalen Ämtern. Siebzig Jahre später ist auch für Ottawa unstrittig, dass die nobelste humanitäre Macht in Skandinavien liegt und nicht in Nordamerika. Woran erkennt man diesen moralischen Sieg? Daran, dass Kanada seine Grenzen nur noch für Könner öffnet. Deshalb wird es bereits bei Pisa 2006 zum ersten Land, in dem Zuwandererkinder schulisch besser abschneiden als der alteingesessene Nachwuchs. Vor allem aber erkennt man das moralische Davonziehen der Nordeuropäer daran, dass jeder Schwede aus der Gemeinschaft verstoßen wird, wenn er die ökonomischen und sozialen Kosten der ins Land Drängenden problematisiert. Fredrik Reinfeldt, damals Ministerpräsident aus der konservativen Partei, appellierte an alle, ""Geduld zu haben und die Herzen den Menschen zu öffnen, die nach Europa kommen in ein besseres Leben"". Die Krone der Humanität Im September 2015 preist Said Raad al-Hussein als UN-Hochkommissar für Menschenrechte Schweden als Vorbild bei der Migrantenaufnahme. Seitdem weiß die gesamte Menschheit, wer die Krone der Humanität trägt. Zwar nennt der Jordanier Deutschland im selben Satz. Doch das bereut er umgehend, weil Angela Merkel gleichen Tages Polizeihundertschaften in den Süden befiehlt, um Grenzverletzer zu verhaften. Ohnehin liegt Schweden bei Asylbewerbern pro zehntausend Einwohnern schon 2013 mit 57 fast uneinholbar vor Deutschland mit 15. In Kanada gibt es Neid auf den schwedischen Glanz. Der Canadian Council for Refugees drängt die Regierung zu einer weiteren Öffnung der Tore. Dass nicht allein Stolz nationale Entscheidungen bestimmen dürfe, illustriert daraufhin Kanadas führende Tageszeitung ""Globe and Mail"" mit einem Blick auf das beneidete Schweden. Die Reporterin Margaret Wente sprach mit dem schwedischen Ökonomen Tino Sanandaji. Als Kurde aus dem Iran gehört er zu den 14 Prozent Migranten in der schwedischen Bevölkerung. Er polemisiert nicht, sondern nennt Zahlen. Die Ungleichheit steigt rasant Danach haben 48 Prozent der Immigranten im berufsfähigen Alter keine Arbeit. Selbst nach 15 Jahren in Schweden erreicht ihre Beschäftigungsquote nur 60 Prozent. Schweden hat bei der Arbeitsmarktteilnahme zwischen Einheimischen und Nichteinheimischen den größten Abstand in Europa. 42 Prozent der Langzeitarbeitslosen sind Immigranten. 58 Prozent der Sozialhilfeleistungen gehen an Immigranten. 45 Prozent der Kinder mit den schlechtesten Schulleistungen sind Immigranten. Sie verdienen im Durchschnitt 40 Prozent weniger als Einheimische. Seit den 80er-Jahren hat Schweden den höchsten Anstieg an Ungleichheit unter allen OECD-Staaten. Es mag die Schweden ehren, über all das nicht zu reden, weil es dem Land nun einmal um die Höhe der Humanität und nicht der Prosperität geht. Gleichwohl können die Ergebnisse hilfreich sein, wenn es in anderen Nationen um das Gewinnen demokratischer Mehrheiten für die Ausrichtung der künftigen Einwanderungspolitik geht. Kein Land kommt um die Entscheidung herum, ob es schwedischer oder kanadischer werden will. Der Autor ist Publizist und emeritierter Professor für Sozialpädagogik an der Universität Bremen. © WeltN24 GmbH 2016. Alle Rechte vorbehalten "	581	True
586	Pegida	39	0	twitter.com	Twitter	Dr. Hugo Müller-Vogg on Twitter	“#CDUCSU #Merkel in der Fraktionssitzung genervt: Ist mir egal, ob ich schuld am Zustrom der #Flüchtlinge bin. Nun sind sie halt da.”	article	https://pbs.twimg.com/profile_images/662272187945132032/oYZ04pVP_400x400.jpg	https://twitter.com/HugoMuellerVogg/status/646335297173737472	"Dr. Hugo Müller-Vogg auf Twitter: ""#CDUCSU #Merkel in der Fraktionssitzung genervt: ""Ist mir egal, ob ich schuld am Zustrom der #Flüchtlinge bin. Nun sind sie halt da."""" "	586	True
594	Pegida	39	298	youtube.com	YouTube	PEGIDA Dresden.21 09.2015 Rede von Lutz Bachmann.	PEGIDA Dresden.21 09.2015 Rede von Lutz Bachmann.	video	https://i.ytimg.com/vi/fZvenl9-9Q0/hqdefault.jpg	https://www.youtube.com/watch?v=fZvenl9-9Q0		594	True
595	Pegida	39	298	youtube.com	YouTube	PEGIDA Dresden 21.09.2015 Rede von Siegfried Daebritz	PEGIDA Dresden 21.09.2015 Rede von Siegfried Daebritz	video	https://i.ytimg.com/vi/pt1_qv6FNOg/hqdefault.jpg	https://www.youtube.com/watch?v=pt1_qv6FNOg		595	True
